,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1312818633123475456,1312818633123475456,1601835327000.0,2020-10-05 01:15:27,+0700,,"The #AbrahamAccords travel to #Brazil. Barbecue with President @jairbolsonaro and his son Cong @BolsonaroSP, the ambassadors of the US, UAE, Bahrain &amp; Israel.   Encouraging to Arab, Syrian, Lebanese, &amp; Jewish communities in Brazil.   Glad I helped in the genesis of this journey.",en,"['abrahamaccords', 'brazil']",[],37535548,37535548,WalidPhares,Walid Phares,1,01,https://twitter.com/WalidPhares/status/1312818633123475456,[],[],0,,False,714,28,136,https://twitter.com/jairbolsonaro/status/1312816223642628098,#AbrahamAccords,,,,,,,[],,,,
1,1312964903016239105,1312964903016239105,1601870201000.0,2020-10-05 10:56:41,+0700,,"""I did get harassed by members of #Palestinian Journalists Syndicate"" - @AhdeyaAhmed President of #Bahraini Journalists Association says she is being threatened for supporting the #AbrahamAccords  https://t.co/RFkoi3SzTn",en,"['palestinian', 'bahraini', 'abrahamaccords']",[],153908352,153908352,michaldivon,Michal Divon מיכל דיבון ميخال ديفون,1,10,https://twitter.com/michaldivon/status/1312964903016239105,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1312964672971255808/pu/img/fYKl7bNx-ZsLqHCl.jpg,False,63,8,38,,#AbrahamAccords,,,,,,,[],,,,
2,1312990082769379328,1312990082769379328,1601876204000.0,2020-10-05 12:36:44,+0700,,"True happiness is for those who make #peace no matter how much it costs them, and bliss is for those who buy peace, even if it costs them many sacrifices, and joy is for those who create peace where there is hatred, for those who plant love where there is violence #AbrahamAccords",en,"['peace', 'abrahamaccords']",[],453838317,453838317,Bin_Shaiban,Dr. Bin Shaiban,1,12,https://twitter.com/Bin_Shaiban/status/1312990082769379328,[],[],0,,False,61,6,19,,#AbrahamAccords,,,,,,,[],,,,
