,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1346002892080230402,1346002892080230402,1609747071000.0,2021-01-04 14:57:51,+0700,,"Have you ever stopped to think about the many things and the many achievements and advances that the UAE and Israel made together in just 4 months of agreement? Can you imagine in 4 years!? We are still in the first steps, imagine when we run... 🇦🇪🕊️🇮🇱💪 #AbrahamAccords  https://t.co/shrcx63yvH",en,['abrahamaccords'],[],938025513465143296,938025513465143296,UAE_YOT2019,Peace to Jews and Arabs 🇦🇪🇮🇱🇧🇭🕊️,1,14,https://twitter.com/UAE_YOT2019/status/1346002892080230402,[],['https://pbs.twimg.com/media/Eq32fziXMAItIbL.jpg'],1,https://pbs.twimg.com/media/Eq32fziXMAItIbL.jpg,False,171,13,33,,#AbrahamAccords,,,,,,,[],,,,
1,1345958134288797696,1345958134288797696,1609736400000.0,2021-01-04 12:00:00,+0700,,"Saudi Arabia is planning 16 new luxury hotel resorts on islands off the coral-fringed Red Sea coast. 300,000 tourists expected annually by 2023. Many will likely be Israelis driving down to explore warm Saudi hospitality and natural beauty. #AbrahamAccords  https://t.co/IY2dNhwYb5",en,['abrahamaccords'],[],18809354,18809354,AviKaner,Avi Kaner ابراهيم אבי,1,12,https://twitter.com/AviKaner/status/1345958134288797696,['https://english.alarabiya.net/en/life-style/travel-and-tourism/2020/11/12/Saudi-Arabia-s-Red-Sea-project-plans-16-hotels-by-2023-expects-tourism-recovery'],[],0,,False,78,5,22,,#AbrahamAccords,,,,,,,[],,,,
2,1345851176437358595,1345851176437358595,1609710899000.0,2021-01-04 04:54:59,+0700,,Benjamin Netanyahu in Oman with Sultan Qaboos bin Said (Rest in peace) 🙏Coming soon... 🇴🇲🤝🇮🇱 #AbrahamAccords  https://t.co/c2IHRHa7uU,en,['abrahamaccords'],[],938025513465143296,938025513465143296,UAE_YOT2019,Peace to Jews and Arabs 🇦🇪🇮🇱🇧🇭🕊️,1,04,https://twitter.com/UAE_YOT2019/status/1345851176437358595,[],"['https://pbs.twimg.com/media/Eq1sgC2W8AAV7Kj.jpg', 'https://pbs.twimg.com/media/Eq1sgR-XIAM67CF.jpg', 'https://pbs.twimg.com/media/Eq1sghdXUAYCqNA.jpg', 'https://pbs.twimg.com/media/Eq1sgw7XMAEIFt1.jpg']",1,https://pbs.twimg.com/media/Eq1sgC2W8AAV7Kj.jpg,False,71,4,5,,#AbrahamAccords,,,,,,,[],,,,
