,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1336729055727661056,1336729055727661056,1607536016000.0,2020-12-10 00:46:56,+0700,,What a wonderful #AbrahamAccords evening 🌟 in Dubai 🇦🇪 ...I was honored to finally meet and bring the 4 flags together once again :  @TalMuscal 🇮🇱  @lalshareef 🇧🇭  @sfrantzman 🇺🇸  @HSajwanization 🇦🇪  https://t.co/m5BhdsZUw5,en,['abrahamaccords'],[],431777800,431777800,HSajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,4,00,https://twitter.com/HSajwanization/status/1336729055727661056,[],['https://pbs.twimg.com/media/Eo0D-71XIAo7s6w.jpg'],1,https://pbs.twimg.com/media/Eo0D-71XIAo7s6w.jpg,False,286,19,19,,#AbrahamAccords,,,,,,,[],,,,
1,1336815386843619330,1336815386843619330,1607556599000.0,2020-12-10 06:29:59,+0700,,"The #UAE should get the US built F-35 no question. They're among our most strategic Arab allies: facing Iran, countering Jihadists, #ArabCoalition member, partner in the #AbrahamAccords &amp; the Franco-Greek counterterror task force, modernists, exploring space, faithful to America.  https://t.co/W2Nw1zZSNS",en,"['uae', 'arabcoalition', 'abrahamaccords']",[],37535548,37535548,WalidPhares,Walid Phares,4,06,https://twitter.com/WalidPhares/status/1336815386843619330,[],['https://pbs.twimg.com/media/Eo1SbFKXMAAnkcV.jpg'],1,https://pbs.twimg.com/media/Eo1SbFKXMAAnkcV.jpg,False,84,11,21,,#AbrahamAccords,,,,,,,[],,,,
2,1337036888306311173,1337036888306311173,1607609409000.0,2020-12-10 21:10:09,+0700,,"Ibrahim Sayyed, 59, lives among the dead of Jerusalem. He is the Muslim caretaker of the world’s largest #Jewish cemetery located atop the Mount of Olives. He says he is happy and proud to serve the dead. #UAEIsrael #AbrahamAccords   https://t.co/cPBGy0Whke",en,"['jewish', 'uaeisrael', 'abrahamaccords']",[],28771616,28771616,Asankar,Anjana Sankar,4,21,https://twitter.com/Asankar/status/1337036888306311173,['https://www.khaleejtimes.com/region/mena/kt-in-israel-meet-the-arab-caretaker-of-largest-jewish-cemetery'],[],0,,False,64,3,9,,#AbrahamAccords,,,,,,,[],,,,
