,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1343621432446754819,1343621432446754819,1609179287000.0,2020-12-29 01:14:47,+0700,,Courtyard of US Embassy in #Jerusalem named in honor of Jared Kushner #AbrahamAccords   https://t.co/a0wDGcFyMp  h/t @aviberkow45  @USAmbIsrael  https://t.co/jAVcFBhKeo,en,"['jerusalem', 'abrahamaccords']",[],431777800,431777800,HSajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,2,01,https://twitter.com/HSajwanization/status/1343621432446754819,['https://nypost.com/2020/12/22/courtyard-of-us-embassy-in-jerusalem-named-after-jared-kushner/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons'],['https://pbs.twimg.com/media/EqWAkTqXMAIYfDT.jpg'],1,https://pbs.twimg.com/media/EqWAkTqXMAIYfDT.jpg,False,1386,317,202,,#AbrahamAccords,,,,,,,[],,,,
1,1343603871877361669,1343603871877361669,1609175100000.0,2020-12-29 00:05:00,+0700,,"Opinion💭by Bryan E. Leib  The US State Dept. declared that goods and products made in #Judea and #Samaria will be labeled as #MadeInIsrael.  This is another product of the successful #AbrahamAccords, brokered by President Donald Trump.  https://t.co/S5XIkmL9Vj",en,"['judea', 'samaria', 'madeinisrael', 'abrahamaccords']",[],1217213360846069760,1217213360846069760,EpochOpinion,Epoch Times Opinion,2,00,https://twitter.com/EpochOpinion/status/1343603871877361669,['https://www.theepochtimes.com/made-in-israel_3633731.html?utm_medium=social&utm_source=twitter&utm_campaign=digitalsub'],[],0,,False,365,4,68,,#AbrahamAccords,,,,,,,[],,,,
2,1343664190440017928,1343664190440017928,1609189481000.0,2020-12-29 04:04:41,+0700,,See how #AbrahamAccords benefited my country! A great Israeli #tech in the #UAE  🇦🇪🇮🇱 👏🏼 #Watergen  https://t.co/CUny77zaSA,en,"['abrahamaccords', 'tech', 'uae', 'watergen']",[],431777800,431777800,HSajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,2,04,https://twitter.com/HSajwanization/status/1343664190440017928,[],['https://pbs.twimg.com/media/EqWndDSXUAQU9TW.jpg'],1,https://pbs.twimg.com/media/EqWndDSXUAQU9TW.jpg,False,247,13,26,,#AbrahamAccords,,,,,,,[],,,,
3,1343954015734751233,1343954015734751233,1609258581000.0,2020-12-29 23:16:21,+0700,,"Israel 🇮🇱, UAE 🇦🇪, Saudi Arabia 🇸🇦, and Bahrain 🇧🇭 lead the Middle East in the 2020 UN World Happiness Report. #abrahamaccords  https://t.co/gc0JpQZRQK  https://t.co/DTnKolxvsd",en,['abrahamaccords'],[],18809354,18809354,AviKaner,Avi Kaner ابراهيم אבי,2,23,https://twitter.com/AviKaner/status/1343954015734751233,['https://s3.amazonaws.com/happiness-report/2020/WHR20.pdf'],['https://pbs.twimg.com/media/EqavDc2VoAAJ7F5.jpg'],1,https://pbs.twimg.com/media/EqavDc2VoAAJ7F5.jpg,False,84,2,20,,#AbrahamAccords,,,,,,,[],,,,
4,1343662505382588419,1343662505382588419,1609189079000.0,2020-12-29 03:57:59,+0700,,"Economic ties between Morocco 🇲🇦 and Israel 🇮🇱 are already blossoming, coordinated by economic ministers Moulay Hafid Elalamy and Amir Peretz. Israel’s economic minister was also born in Morocco. A million Israelis have Moroccan roots. Family reunited. #AbrahamAccords",en,['abrahamaccords'],[],18809354,18809354,AviKaner,Avi Kaner ابراهيم אבי,2,03,https://twitter.com/AviKaner/status/1343662505382588419,[],[],0,,False,61,1,14,https://twitter.com/MyHafidElalamy/status/1343576885842890754,#AbrahamAccords,,,,,,,[],,,,
