,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1336158193861398529,1336158193861398529,1607399912000.0,2020-12-08 10:58:32,+0700,,"""I spent 8 yrs at the UN watching many of our allies…[ask the US] to do more or to help them…What Donald Trump was saying is…why can't we put forward what we want?""  @RichardGrenell on Trump's foreign policy successes, incl. the #AbrahamAccords.  WATCH👉 https://t.co/6wN8FQ8qZ3  https://t.co/tLFLP4iwgo",en,['abrahamaccords'],[],1203077613138464768,1203077613138464768,AmThoughtLeader,American Thought Leaders 🇺🇸 with @JanJekielek,2,10,https://twitter.com/AmThoughtLeader/status/1336158193861398529,['http://ept.ms/richardgrenell'],[],1,https://pbs.twimg.com/amplify_video_thumb/1336157298318843904/img/F3y05Yp98g2pvwnX.jpg,False,659,13,169,,#AbrahamAccords,,,,,,,[],,,,
1,1336006621202419718,1336006621202419718,1607363774000.0,2020-12-08 00:56:14,+0700,,She is Israeli. He is Emirati.  Peace is indeed beautiful 🇦🇪🕊🇮🇱  #AbrahamAccords  https://t.co/ynpt2i3gtZ,en,['abrahamaccords'],[],1064887197713743875,1064887197713743875,InbarCohen13,Inbar Cohen,2,00,https://twitter.com/InbarCohen13/status/1336006621202419718,[],['https://pbs.twimg.com/media/Eopy8OsXMAMrdRx.jpg'],1,https://pbs.twimg.com/media/Eopy8OsXMAMrdRx.jpg,False,448,9,19,,#AbrahamAccords,,,,,,,[],,,,
2,1336352610320846848,1336352610320846848,1607446265000.0,2020-12-08 23:51:05,+0700,,עידן רייכל באופרה בדובאי #AbrahamAccords  https://t.co/6yU0zdXOPK,iw,['abrahamaccords'],[],3304041230,3304041230,FleurHassanN,פלר חסן נחום Fleur Hassan-Nahoum,2,23,https://twitter.com/FleurHassanN/status/1336352610320846848,[],['https://pbs.twimg.com/media/Eoutm4PXIAMHwAh.jpg'],1,https://pbs.twimg.com/media/Eoutm4PXIAMHwAh.jpg,False,80,3,10,,#AbrahamAccords,,,,,,,[],,,,
3,1336016913244315648,1336016913244315648,1607366228000.0,2020-12-08 01:37:08,+0700,,Another amazing connection between #Jerusalem and the #uae #AbrahamAccords,en,"['jerusalem', 'uae', 'abrahamaccords']",[],3304041230,3304041230,FleurHassanN,פלר חסן נחום Fleur Hassan-Nahoum,2,01,https://twitter.com/FleurHassanN/status/1336016913244315648,[],[],0,,False,78,2,8,https://twitter.com/fcbeitar/status/1335969320946593794,#AbrahamAccords,,,,,,,[],,,,
