,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1333439964055547904,1333439964055547904,1606751836000.0,2020-11-30 22:57:16,+0700,,"HISTORIC: The first official Jewish wedding in Dubai, United Arab Emirates. #AbrahamAccords  Winds of change in the Middle East! 🕊  https://t.co/8J5aRa9aLb",en,['abrahamaccords'],[],1064887197713743875,1064887197713743875,InbarCohen13,Inbar Cohen,1,22,https://twitter.com/InbarCohen13/status/1333439964055547904,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1333439875840925702/pu/img/UJZYebzqDEZyTdl9.jpg,False,4453,201,726,,#AbrahamAccords,,,,,,,[],,,,
1,1333352440964460545,1333352440964460545,1606730969000.0,2020-11-30 17:09:29,+0700,,"UAE to host Israeli #business, #tech and investor delegation at 40th @GITEXTechWeek in #Dubai - Dubai Media Office confirms.  #AbrahamAccords #UAEIsrael 🇦🇪🇮🇱",en,"['business', 'tech', 'dubai', 'abrahamaccords', 'uaeisrael']",[],431777800,431777800,HSajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,1,17,https://twitter.com/HSajwanization/status/1333352440964460545,[],[],0,,False,105,2,5,,#AbrahamAccords,,,,,,,[],,,,
2,1333353397811093506,1333353397811093506,1606731197000.0,2020-11-30 17:13:17,+0700,,"For the time ever, UAE to host Israeli #business, #tech and investor delegation at 40th @GITEXTechWeek in #Dubai - Dubai Media Office confirms.  #AbrahamAccords #UAEIsrael 🇦🇪🇮🇱",en,"['business', 'tech', 'dubai', 'abrahamaccords', 'uaeisrael']",[],431777800,431777800,HSajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,1,17,https://twitter.com/HSajwanization/status/1333353397811093506,[],[],0,,False,94,6,8,,#AbrahamAccords,,,,,,,[],,,,
