,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1341691965377830914,1341691965377830914,1608719266000.0,2020-12-23 17:27:46,+0700,,"#AmbFischer: Once again, King Mohammed VI has demonstrated, as Senior Advisor Kushner said last night, visionary leadership that will place the region on a promising trajectory.  1/3 #AbrahamAccords  https://t.co/zqO1E13Z4R",en,"['ambfischer', 'abrahamaccords']",[],468731306,468731306,USEmbMorocco,U.S. Embassy Morocco,3,17,https://twitter.com/USEmbMorocco/status/1341691965377830914,[],"['https://pbs.twimg.com/media/Ep6lMt_XIAIGEPf.jpg', 'https://pbs.twimg.com/media/Ep6lMumXUAAKcJd.jpg']",1,https://pbs.twimg.com/media/Ep6lMt_XIAIGEPf.jpg,False,224,3,27,,#AbrahamAccords,,,,,,,[],,,,
1,1341438208446480384,1341438208446480384,1608658766000.0,2020-12-23 00:39:26,+0700,,A historic landing in Morocco on the first commercial flight from Israel! @DFCgov stands ready to strengthen our relationship with Morocco and promote peace and prosperity in the region. #AbrahamAccords  https://t.co/JLQmw2eidk,en,['abrahamaccords'],[],991675273610514432,991675273610514432,aboehler,Adam Boehler,3,00,https://twitter.com/aboehler/status/1341438208446480384,[],['https://pbs.twimg.com/media/Ep2-8CDXUAAwMl0.jpg'],1,https://pbs.twimg.com/media/Ep2-8CDXUAAwMl0.jpg,False,146,7,16,,#AbrahamAccords,,,,,,,[],,,,
2,1341698799664852994,1341698799664852994,1608720896000.0,2020-12-23 17:54:56,+0700,,حلول تاريخي بالمغرب على مثن أول رحلة تجارية من إسرائيل! @DFCgov على استعداد لتعزيز العلاقات مع المغرب وتعزيز السلام والازدهار في المنطقة. #AbrahamAccords,ar,['abrahamaccords'],[],991675273610514432,991675273610514432,aboehler,Adam Boehler,3,17,https://twitter.com/aboehler/status/1341698799664852994,[],[],0,,False,81,3,8,https://twitter.com/aboehler/status/1341438208446480384,#AbrahamAccords,,,,,,,[],,,,
