,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1356850597627101185,1356850597627101185,1612333366000.0,2021-02-03 13:22:46,+0700,,Israel is not perfect and has flaws like any other country in the world but it’s ten times more serious to reach a peaceful resolution than the PA &amp; Hamas. The PA &amp; Hamas didn’t miss an opportunity to miss an opportunity. We should all give peace a chance #AbrahamAccords,en,['abrahamaccords'],[],35804894,35804894,Thani75,Thani ثاني بن عبدالله🇦🇪 ‏ת׳אני אל שיראווי Hillel,3,13,https://twitter.com/Thani75/status/1356850597627101185,[],[],0,,False,622,25,111,,#AbrahamAccords,,,,,,,[],,,,
1,1356943679584407552,1356943679584407552,1612355558000.0,2021-02-03 19:32:38,+0700,,Soccer ⚽️ brought us together 🇦🇪🇮🇱... #AbrahamAccords,en,['abrahamaccords'],[],431777800,431777800,HSajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,3,19,https://twitter.com/HSajwanization/status/1356943679584407552,[],[],0,,False,180,10,9,,#AbrahamAccords,,,,,,,[],,,,
2,1356997402209771521,1356997402209771521,1612368367000.0,2021-02-03 23:06:07,+0700,,"First official meeting with HE @AlyaAlmehrezi assistant undersecretary for protocol affairs. Thank you for a very Fruitful meeting and for yr assistance. ..So, 🇦🇪🇮🇱 onward we go #AbrahamAccords #israel #UAE  https://t.co/7bWnVqXnJc",en,"['abrahamaccords', 'israel', 'uae']",[],1884607476,1884607476,AmbassadorNaeh,Eitan Na'eh,3,23,https://twitter.com/AmbassadorNaeh/status/1356997402209771521,[],['https://pbs.twimg.com/media/EtUF8RdXIAID92s.jpg'],1,https://pbs.twimg.com/media/EtUF8RdXIAID92s.jpg,False,153,2,21,,#AbrahamAccords,,,,,,,[],,,,
