,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1334403319972974595,1334403319972974595,1606981518000.0,2020-12-03 14:45:18,+0700,,"#BREAKING: UAE activates tourist visas to Israeli passports to enter the UAE through airlines, travel and tourism offices - WAM  #AbrahamAccords 🇦🇪🇮🇱",en,"['breaking', 'abrahamaccords']",[],431777800,431777800,HSajwanization,حسن سجواني 🇦🇪 Hassan Sajwani,4,14,https://twitter.com/HSajwanization/status/1334403319972974595,[],[],0,,False,1074,26,105,,#AbrahamAccords,,,,,,,[],,,,
1,1334236226547806209,1334236226547806209,1606941679000.0,2020-12-03 03:41:19,+0700,,Primo matrimonio #ebraico della storia a #Dubai negli #UnitedArabEmirates terra di #islam. Fino a ieri fantascienza oggi realtà grazie agli #AbrahamAccords di #trump. Pregasi notare no #mascherine no #lockdown da #covid19 come invece dicono i #media.,it,"['ebraico', 'dubai', 'unitedarabemirates', 'islam', 'abrahamaccords', 'trump', 'mascherine', 'lockdown', 'covid19', 'media']",[],1121911847840571393,1121911847840571393,ebreieisraele,Ebrei_israele 🇮🇱🇮🇹🇺🇸,4,03,https://twitter.com/ebreieisraele/status/1334236226547806209,[],[],0,,False,142,16,47,https://twitter.com/InbarCohen13/status/1333439964055547904,#AbrahamAccords,,,,,,,[],,,,
2,1334455854985338880,1334455854985338880,1606994043000.0,2020-12-03 18:14:03,+0700,,Very exciting as El Al 🇮🇱 commercial flight arrives in Dubai 🇦🇪. There are now dozens of full weekly flights scheduled across multiple carriers. #AbrahamAccords  https://t.co/uisRI9fHNJ,en,['abrahamaccords'],[],18809354,18809354,AviKaner,Avi Kaner ابراهيم אבי,4,18,https://twitter.com/AviKaner/status/1334455854985338880,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1334455516236537859/pu/img/deYOY5iFOsJ-jK5t.jpg,False,56,4,12,,#AbrahamAccords,,,,,,,[],,,,
